show_id,type,title,cast,release_year,listed_in,plataforma,duration_len,duration_type
n5733,TV Show,Love Now,"Annie Chen, George Hu, Bobby Dou, Vivi Lee, Harry Chang, Esther Yang, Mandy Wei",2012,"International TV Shows, Romantic TV Shows, TV Comedies",netflix,1,Season
n5734,Movie,Norman Lear: Just Another Version of You,"Norman Lear, George Clooney, Bill Moyers, John Amos, Russell Simmons, Louise Lasser, Rob Reiner, Jon Stewart, Amy Poehler",2016,Documentaries,netflix,91,min
n5735,Movie,Santa Pac's Merry Berry Day,"Erin Mathews, Sam Vincent, Andrea Libman, Ashleigh Ball, Ian James Corlett, Brian Drummond, Lee Tockar, Matt Hill, Richard Newman",2016,Movies,netflix,44,min
n5736,Movie,Spanish Affair 2,"Dani Rovira, Clara Lago, Karra Elejalde, Carmen Machi, Belén Cuesta, Berto Romero, Rosa María Sardà, Alfonso Sánchez, Alberto López, Josep Maria Riera",2015,"Comedies, International Movies, Romantic Movies",netflix,107,min
n5737,Movie,Pup Star,"Makenzie Moss, Jed Rees, David DeLuise, Carla Jimenez, Tom Everett Scott, Diedrich Bader, George Newbern, Bonnie Somerville, John Ratzenberger",2016,"Children & Family Movies, Comedies",netflix,92,min
n5738,Movie,I Am the Pretty Thing That Lives in the House,"Ruth Wilson, Bob Balaban, Lucy Boynton, Paula Prentiss",2016,"Horror Movies, International Movies, Thrillers",netflix,89,min
n5739,Movie,Into the Inferno,Werner Herzog,2016,Documentaries,netflix,107,min
n5740,Movie,The African Doctor,"Marc Zinga, Aïssa Maïga, Bayron Lebli, Médina Diarra, Rufus, Jonathan Lambert, Jean-Benoît Ugeux",2016,"Comedies, Dramas, International Movies",netflix,94,min
n5741,Movie,They Are Everywhere,"Yvan Attal, Benoît Poelvoorde, Charlotte Gainsbourg, Valérie Bonneton, Dany Boon, Grégory Gadebois, Denis Podalydès, François Damiens, Yamée Couture, Freya Mavor, Rivka Michaeli",2016,"Comedies, International Movies",netflix,110,min
n5742,TV Show,Trailer Park Boys: Out of the Park: Europe,"Mike Smith, John Paul Tremblay, Robb Wells",2016,"International TV Shows, TV Comedies",netflix,1,Season
n5743,Movie,West Coast,"Devi Couzigou, Mathis Crusson, Victor Le Blond, Sullivan Loyez, Pierre-François Martin-Laval, Hugo Chalan-Marchio",2016,"Comedies, Dramas, International Movies",netflix,81,min
n5744,Movie,7 años,"Paco León, Juana Acosta, Juan Pablo Raba, Alex Brendemühl, Manuel Morón",2016,"Dramas, International Movies",netflix,77,min
n5745,TV Show,Containment,"David Gyasi, Christina Marie Moses, Chris Wood, Kristen Gutoskie, Claudia Black, George Young, Hanna Mangan Lawrence, Trevor St. John",2016,"TV Dramas, TV Thrillers",netflix,1,Season
n5746,Movie,Joe Rogan: Triggered,Joe Rogan,2016,Stand-Up Comedy,netflix,64,min
n5747,Movie,A Mighty Team,"Gérard Depardieu, Chantal Lauby, Medi Sadoun, Ilian Bergala, Blanche Gardin, Patrick Timsit, Barbara Cabrita, Jean Dell, Thomas Vandenberghe, Théo Fernandez, Léa Lopez",2016,"Comedies, International Movies, Sports Movies",netflix,97,min
n5748,Movie,Berserk: The Golden Age Arc I - The Egg of the King,"Hiroaki Iwanaga, Takahiro Sakurai, Toa Yukinari, Yuki Kaji, Minako Kotobuki, Takahiro Fujiwara, Yoshiro Matsumoto, Kazuki Yao, Aki Toyosaki, Rikiya Koyama, Kenta Miyake",2012,"Action & Adventure, Anime Features, International Movies",netflix,77,min
n5749,Movie,Bleach The Movie: Fade to Black,"Masakazu Morita, Fumiko Orikasa, Aya Hirano, Hiroshi Kamiya, Mitsuaki Madono, Ryotaro Okiayu, Kentaro Ito, Shinichiro Miki, Satsuki Yukino, Masaaki Tsukada",2008,"Action & Adventure, Anime Features, Sci-Fi & Fantasy",netflix,94,min
n5750,Movie,Bleach the Movie: Hell Verse,"Masakazu Morita, Fumiko Orikasa, Kazuya Nakai, Noriaki Sugiyama, Kentarô Itô, Yuki Matsuoka, Ryotaro Okiayu, Romi Park",2010,"Action & Adventure, Anime Features, Sci-Fi & Fantasy",netflix,94,min
